Memory used  (%),CPU utilization (%),Free disk space on C: (%),Free disk space on D: (%),Class
14.9193,10.6318,36.4327,96.6838,0
9.7558,0.6515,36.4314,96.6838,0
9.7261,0.7134,36.4325,96.6838,0
11.8926,14.2729,36.4336,96.6838,0
9.8717,4.8407,36.4323,96.6838,0
16.7019,9.0323,36.4345,96.6838,0
16.489,11.8806,36.4356,96.6838,0
10.4581,1.0039,36.4376,96.6838,0
10.549,0.997,36.4364,96.6838,0
10.5531,0.6882,36.4375,96.6838,0
15.7939,14.7558,36.4386,96.6838,0
9.5377,0.6542,36.4374,96.6838,0
9.5511,1.9921,36.44,96.6838,0
18.3895,21.8735,36.4421,96.6838,0
18.0294,26.4669,36.4399,96.6838,0
14.5341,11.7146,36.442,96.6838,0
17.8667,17.6508,36.4431,96.6838,0
9.376,0.8915,36.4424,96.6838,0
9.3975,0.7624,36.4435,96.6838,0
9.3995,0.574,36.4446,96.6838,0
9.4346,0.6532,36.4467,96.6838,0
10.4815,9.1127,36.4427,96.6838,0
16.8895,17.4747,36.4455,96.6838,0
16.9177,22.309,36.448,96.6838,0
15.4325,12.9936,36.4492,96.6838,0
9.9599,0.7198,36.4478,96.6838,0
10.0087,0.703,36.4489,96.6838,0
9.9774,0.8003,36.4509,96.6838,0
16.7435,8.869,36.4527,96.6838,0
9.5008,0.6365,36.4509,96.6838,0
9.4815,0.6649,36.452,96.6838,0
9.5263,0.8064,36.4533,96.6838,0
18.5546,32.4896,36.4503,96.6838,0
16.235,14.966,36.4524,96.6838,0
17.6806,9.0856,36.4511,96.6838,0
10.3326,0.8675,36.4531,96.6838,0
10.3535,0.7759,36.4547,96.6838,0
10.328,1.1836,36.4563,96.6838,0
15.8005,9.173,36.4545,96.6838,0
9.5982,1.521,36.4557,96.6838,0
9.4779,0.8052,36.4568,96.6838,0
9.4856,0.7119,36.4555,96.6838,0
9.4712,0.6335,36.4566,96.6838,0
9.4796,0.6973,36.4587,96.6838,0
9.5706,1.6338,36.4598,96.6838,0
9.5543,8.9143,36.4585,96.6838,0
13.7932,8.9226,36.4596,96.6838,0
15.2367,18.6015,36.4606,96.6838,0
14.664,9.1207,36.4604,96.6838,0
14.6675,9.3156,36.4615,96.6838,0
14.4559,7.0664,36.4635,96.6838,0
9.7639,0.8351,36.4651,96.6838,0
9.762,0.7168,36.4635,96.6838,0
17.4815,20.9206,36.4421,96.6838,0
8.1509,0.745,36.4408,96.6838,0
13.7163,18.5898,36.442,96.6838,0
17.0754,8.9631,36.4431,96.6838,0
16.8511,9.6611,36.4451,96.6838,0
10.1859,0.722,36.4439,96.6838,0
10.2299,0.9841,36.4458,96.6838,0
